sentence_id;sentence_text
140;I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.
1168;I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee soup people.
1060;Spreads and toppings are great - though a bit pricey.
1302;And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!
1642;I've rarely had a problem with slow staff in the 10 years I've been going.
1766;Food is excellent.
1119;This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.
1158;Good food at the restaurant (a bit expensive, but great if you want to impress your date).
1467;great eats, good times.
1123;Plus, when our entrees were held up in the kitchen on a busy Saturday night, the owner sent over complimentary summer rolls to hold us over!
1395;Another plus is most of the entrees are approx.
1366;The drinks are a saving grace, but service staff, please, get over yourselves.
1638;The prices are exceptionally reasonable for food of this caliber.
1534;I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.
1778;The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.
1733;Decor is charming.
1358;Really tasty spring rolls and noodles for a good price though.
1170;I go back in line like three times on average until I can't walk anymore.
1326;They treated us well and the food was extremely fresh and well-prepared.
1627;Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.
1558;While this can hardly be called a restaurant, it is possibly the best deal in Manhatten: $4 for a plate heaped with rice and 2-3 entrees.
1540;They showed up 15 minutes after the tuna melt.
1508;they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.
1610;The pizza was great.
1139;I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
1808;however, it's the service that leaves a bad taste in my mouth.
1398;Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!
1038;The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.
1770;honestly the worst sushi my husband and i had in our entire lives.
151;However, if you want great food at a great price and don't mind the decor, you can't beat this place.
1423;What makes this restaurant special are the authentic sichuan cooking and being the only one in NYC that offers authentic chongqing hotpot.
1851;Service was on par but not wonderful.
1539;We also ordered two hot dogs thinking they would be pretty good since there is a whole section on the menu devoted to them.
1687;The dish had like 6 pieces of beef in it.
137;This place is always very crowded and popular.
1462;Appetizers are somewhere around $7 each and the main dishes are between $11 and $16.
1605;I've had pizza both times and the caprese salad appetizer.
1447;He was terribly thirsty after the meal too.
1430;If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.
1536;Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.
1420;Note that they do not serve beer, you must bring your own.
1027;We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.
1735;I can't believe people complain about no cheese sticks?
